preamble,stimulus,is_correct,subject
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE (D) 596 CE. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Akitu (D) Nehebkau. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,world_religions
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami (D) Ikebana. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Love and passion (C) Harmony and balance (D) Goodwill and love. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,world_religions
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Khalse (B) Nam (C) Guru (D) Shabad. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
"What is the mi'raj? (A) Muhammad's migration to Mecca (B) Muhammad's miraculous ascent to heaven (C) Muhammad's first community in Mecca (D) Muhammad's revelations of the Qur'an. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
"What is the name of the most famous dharmashastras, which probably dates from around the first century? (A) Laws of Dharma (B) Laws of Karma (C) Laws of Vishnu (D) Laws of Manu. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
"What does the term ""Qur'an"" literally mean? (A) The Holy Book (B) The Narrative (C) The Recitation (D) The Pillars. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,world_religions
" Mani referred to God by which of the following names? (A) Mother of Light (B) Father of Goodness (C) Ineffable Lover (D) Eternal Spirit. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
" Which tradition is known to promote ""gradual enlightenment""? (A) Bushido (B) Soto Zen (C) Shinto (D) Nichiren. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
"What is the communal meal offered at the place of worship called in Sikhism? (A) Sangat (B) Gurdwara (C) Panth (D) Langar. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
"To which tradition do the anti-Han rebel group known as the Celestial Masters belong? (A) Buddhism (B) Confucianism (C) Shamanism (D) Daoism. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,world_religions
"What does the word ""Islam"" mean in Arabic? (A) Worship (B) Submission (C) Obedience (D) Faith. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
"What does the term anatman mean? (A) Suffering (B) No-self (C) Soul (D) Impermanence. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,world_religions
