preamble,stimulus,is_correct,subject
"An important source of information on the credit rating of retail businesses is (A) the Retail Merchants Association (B) the local chamber of commerce (C) the United States Retail Credit Association (D) Dun & Bradstreet, Inc.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy? (A) Conferencing (B) Discipline-based inquiry (C) Self-Regulated Strategy Development (D) Introduction-Body-Conclusion strategy. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Paper will burn at approximately what temperature in Fahrenheit? (A) 986 degrees (B) 451 degrees (C) 2125 degrees (D) 3985 degrees. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"The Apple iMac computer is available in all of the following colors except which? (A) Tangerine (B) Strawberry (C) Kiwi (D) Grape. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"What were the first names of the early American explorers Lewisand Clark? (A) Morgan and Mason (B) Cabot and Joseph (C) Meriwether and William (D) Meredith and George. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described? (A) Direct instruction (B) Literature circle (C) Read-aloud (D) Guided reading. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"What is varicella? (A) a fancy pasta (B) the chicken pox virus (C) a type of opera (D) ancient Roman poetry. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Which of the following materials has a resistance that is LEAST affected by temperature changes? (A) Carbon (B) Copper (C) Germanium (D) Silicon. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"A second-year college student is usually called a what? (A) senior (B) freshman (C) sophomore (D) junior. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"In the film 'The Talented Mr Ripley' who plays Mr Ripley? (A) Jude Law (B) Dustin Hoffman (C) Matt Damon (D) Ben Affleck. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"A hard-edge painting is most likely to be characterized by (A) blurry color mixed on the painting's surface (B) an even, solid paint application (C) scratchy brush marks clearly separated (D) translucent multiple layers of paint. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Who was president of the United States when Bill Clinton was born? (A) Herbert Hoover (B) Harry S Truman (C) Franklin Roosevelt (D) Dwight Eisenhower. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Which of the following lists includes minerals only? (A) Granite, gabbro, diorite, quartz, feldspar (B) Gneiss, schist, phyllite, chlorite, mica (C) Coal, chert, limestone, dolomite, halite (D) Gold, quartz, topaz, diamond, corundum. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"Which of the following is a likely outcome of the development and use of genetically modified plants? (A) Reduced cost of plant seeds (B) Increased genetic diversity within a planted field (C) New plant varieties being patented (D) Less oversight and fewer regulations than for unmodified crops. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand? (A) Point of view (B) Character development (C) Setting (D) Plot sequence. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"Which movie popularized the phrase ""You talkin' to me? (A) Ghost Busters (B) Taxi Driver (C) Joker (D) Groundhog Day. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery? (A) Excessive fluid use (B) Excessive thinning of the fluid (C) A noisy relief valve (D) A grayish, milky fluid. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"What animal represents the year 2000 on the Chinese calendar? (A) rabbit (B) tiger (C) monkey (D) dragon. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"Which of the following is part of a farm combine? (A) Conditioner (B) Seed plate (C) Furrow opener (D) Beater. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"According to legend in what country are you most likely to meet a leprechaun? (A) Poland (B) Greenland (C) Ireland (D) Scotland. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"During which of the following processes within the hydrologic cycle do water molecules absorb energy? (A) Formation of ice from water (B) Evaporation from the ocean surface (C) Formation of a cloud from water vapor (D) Runoff along the land surface. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"What French city is home to a famous international film festival each spring? (A) Marseille (B) Dijon (C) Lyon (D) Cannes. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"What do you call three consecutive strikes in bowling? (A) yahtzee (B) mulligan (C) ace (D) turkey. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"Which of the boys on the TV show 'My Three Sons' is adopted? (A) Mike (B) Ernie (C) Chip (D) Robbie. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"Which of these horror films spawned the most sequels? (A) Scream' (B) Friday the 13th' (C) Jaws' (D) Halloween'. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"What is the name of the female character played by comedian Flip Wilson on his 1970s TV show? (A) Miss Jackie (B) Elizabeth Sanford (C) Geraldine Jones (D) Gladys Knight. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
"What kind of animal is a peregrine? (A) moose (B) cat (C) fish (D) bird. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"What part of the human body does a gastroenterologist examine? (A) Brain (B) Stomach (C) Skeleton (D) Nose. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,miscellaneous
"A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination? (A) Blue (B) Green (C) Red (D) Black. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"Meat should be kept frozen at what temperature in degrees Fahrenheit? (A) between 10 and 20 degrees (B) between 20 and 30 degrees (C) just below 32 degrees (D) 0 degrees or below. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,miscellaneous
"What kind of animal is cartoon character Tennessee Tuxedo? (A) cat (B) skunk (C) penguin (D) walrus. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,miscellaneous
