preamble,stimulus,is_correct,subject
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 62% (C) 82% (D) 72%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) Japan (D) China. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 15 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Lower respiratory infections (D) Malaria. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 30% (C) 20% (D) 40%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 38% (C) 78% (D) 58%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 26% (C) 41% (D) 56%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 38% (C) 68% (D) 53%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 15% (C) 10% (D) 25%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"As of 2020, about what percentage of the world population practices open defecation? (A) 2% (B) 4% (C) 18% (D) 9%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) land reform (B) progressive taxation (C) increased access to education (D) minimum wage legislation. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 6% (B) 13% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 34% (C) 64% (D) 79%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 82% (C) 72% (D) 92%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? (A) 45% (B) 65% (C) 85% (D) 25%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is (A) 44% (B) 24% (C) 64% (D) 84%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately (A) 25% (B) 40% (C) 75% (D) 55%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,global_facts
"As of 2015, agriculture made up about what percentage of total Indian GDP? (A) 8% (B) 16% (C) 32% (D) 64%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
