preamble,stimulus,is_correct,subject
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (A) is the",best,0,world_religions
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (B) is the",best,0,world_religions
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (C) is the",best,0,world_religions
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (D) is the",best,1,world_religions
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (A) is the",best,0,world_religions
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (B) is the",best,0,world_religions
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (C) is the",best,1,world_religions
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (D) is the",best,0,world_religions
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (A) is the",best,0,world_religions
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (B) is the",best,1,world_religions
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (C) is the",best,0,world_religions
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (D) is the",best,0,world_religions
