preamble,stimulus,is_correct,subject
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $3k (C) About $8k (D) About $15k. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) Germany (C) Japan (D) China. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 15 fold (B) by 5 fold (C) by 10 fold (D) by 20 fold. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Malaria (D) Lower respiratory infections. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 30% (C) 20% (D) 40%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 58% (C) 38% (D) 78%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 41% (C) 56% (D) 26%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 68% (C) 38% (D) 53%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 10% (C) 15% (D) 25%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2020, about what percentage of the world population practices open defecation? (A) 9% (B) 2% (C) 4% (D) 18%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) minimum wage legislation (B) land reform (C) progressive taxation (D) increased access to education. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 13% (B) 6% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 34% (C) 64% (D) 79%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 72% (C) 92% (D) 82%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? (A) 45% (B) 65% (C) 85% (D) 25%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is (A) 24% (B) 44% (C) 64% (D) 84%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately (A) 25% (B) 40% (C) 55% (D) 75%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2015, agriculture made up about what percentage of total Indian GDP? (A) 16% (B) 8% (C) 32% (D) 64%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"Which of the following is true as of 2020? (A) females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder. (B) males are more likely to have depression and are more likely to have an alcohol use disorder than females. (C) females are more likely to have depression and are more likely to have an alcohol use disorder than males. (D) males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society? (A) 37% (B) 47% (C) 57% (D) 67%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,global_facts
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about (A) 1% (B) 10% (C) 3% (D) 6%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2019, about what share of electricity came from fossil fuels in the United States? (A) 23% (B) 63% (C) 43% (D) 83%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015? (A) 10% (B) 70% (C) 30% (D) 50%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making? (A) 56% (B) 26% (C) 41% (D) 71%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"In 2018, about how many chickens were killed for meat production? (A) 69 billion (B) 690 million (C) 6.9 billion (D) 690 billion. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"In 2016, what percentage of the population of South Sudan had access to electricity? (A) 29% (B) 9% (C) 59% (D) 79%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 51% (B) 31% (C) 71% (D) 91%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China? (A) by 4 fold (B) by 16 fold (C) by 8 fold (D) by 32 fold. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
"Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote. (A) 19 (B) 1 (C) 7 (D) 13. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"As of 2019, about what percentage of Turks say God plays an important role in their life? (A) 89% (B) 59% (C) 69% (D) 79%. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,global_facts
"Which of the following was responsible for the most death in the 20th century? (A) Earthquakes (B) Floods (C) Volcanic activity (D) Wildfires. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,global_facts
